Date,maximumTemp
17-09-12,28.14285714
18-09-12,27.625
19-09-12,29.14285714
20-09-12,28.625
21-09-12,28.85714286
22-09-12,29.57142857
23-09-12,29.16666667
24-09-12,28.625
25-09-12,28.4
26-09-12,28.8
27-09-12,27.85714286
28-09-12,27.71428571
29-09-12,28.83333333
30-09-12,27.16666667
01-10-12,26.75
02-10-12,29.625
03-10-12,27.2
04-10-12,32
05-10-12,27.16666667
06-10-12,25.85714286
07-10-12,26.875
08-10-12,22.6
09-10-12,24.16666667
10-10-12,24.5
11-10-12,26.42857143
12-10-12,26.33333333
13-10-12,24.16666667
14-10-12,27.33333333
15-10-12,27
16-10-12,25.25
17-10-12,24.85714286
18-10-12,25.42857143
19-10-12,23.14285714
20-10-12,22
21-10-12,24.5
22-10-12,24.8
23-10-12,22.2
24-10-12,24
25-10-12,20.42857143
26-10-12,21.2
27-10-12,21.8
28-10-12,19.75
29-10-12,22.14285714
30-10-12,22.8
31-10-12,21.28571429
01-11-12,20.28571429
02-11-12,20.2
03-11-12,19.5
04-11-12,20.375
05-11-12,19.14285714
06-11-12,19.85714286
07-11-12,21.14285714
08-11-12,19.875
09-11-12,21.4
10-11-12,21.16666667
11-11-12,20.5
12-11-12,21.14285714
13-11-12,16.8
14-11-12,19.28571429
15-11-12,19.28571429
16-11-12,19.5
17-11-12,16.4
18-11-12,19.75
19-11-12,18.16666667
20-11-12,19.66666667
21-11-12,17.42857143
22-11-12,17.16666667
23-11-12,16.2
24-11-12,18.66666667
25-11-12,14.83333333
26-11-12,16.875
27-11-12,17.42857143
28-11-12,16.57142857
29-11-12,18.2
30-11-12,16.42857143
01-12-12,16
02-12-12,16.33333333
03-12-12,14.125
04-12-12,15.2
05-12-12,17
06-12-12,19.2
07-12-12,16.85714286
08-12-12,16
09-12-12,18
10-12-12,18
11-12-12,14.375
12-12-12,15.5
13-12-12,18.83333333
14-12-12,17.85714286
15-12-12,18.42857143
16-12-12,16.83333333
17-12-12,16.83333333
18-12-12,16.66666667
19-12-12,16.2
20-12-12,13
21-12-12,14.42857143
22-12-12,13.16666667
23-12-12,12.5
24-12-12,12
25-12-12,10.85714286
26-12-12,12.83333333
27-12-12,9.666666667
28-12-12,10.4
29-12-12,14.8
30-12-12,11.71428571
31-12-12,10.33333333
01-01-13,10
02-01-13,7.4
03-01-13,7.166666667
04-01-13,8.666666667
05-01-13,6
06-01-13,7
07-01-13,7
08-01-13,8.857142857
09-01-13,14
10-01-13,11
11-01-13,15.71428571
12-01-13,14
13-01-13,15.83333333
14-01-13,12.83333333
15-01-13,14.71428571
16-01-13,13.83333333
17-01-13,16.5
18-01-13,13.83333333
19-01-13,12.5
20-01-13,11.28571429
21-01-13,11.2
22-01-13,9.5
23-01-13,14
24-01-13,13.83333333
25-01-13,12.25
26-01-13,12.66666667
27-01-13,12.85714286
28-01-13,14.83333333
29-01-13,14.125
30-01-13,14.71428571
31-01-13,16.2
01-02-13,16
02-02-13,16.28571429
03-02-13,18
04-02-13,17.42857143
05-02-13,16.625
06-02-13,16.66666667
07-02-13,15.6
08-02-13,14
09-02-13,15.42857143
10-02-13,15.25
11-02-13,15.875
12-02-13,15.33333333
13-02-13,16.28571429
14-02-13,17.33333333
15-02-13,19.16666667
16-02-13,14.42857143
17-02-13,13.66666667
18-02-13,15.6
19-02-13,15.85714286
20-02-13,17.71428571
21-02-13,20
22-02-13,20.5
23-02-13,17.42857143
24-02-13,16.85714286
25-02-13,16.875
26-02-13,17.85714286
27-02-13,20.8
28-02-13,19.42857143
01-03-13,17.33333333
02-03-13,19
03-03-13,19.33333333
04-03-13,17.6
05-03-13,20.875
06-03-13,20.85714286
07-03-13,23.42857143
08-03-13,24.16666667
09-03-13,25.42857143
10-03-13,23.14285714
11-03-13,24
12-03-13,23.5
13-03-13,21.5
14-03-13,22.33333333
15-03-13,24.16666667
16-03-13,20.33333333
17-03-13,22.66666667
18-03-13,23.42857143
19-03-13,22.5
20-03-13,29.16666667
21-03-13,23.83333333
22-03-13,25.25
23-03-13,27.375
24-03-13,27
25-03-13,23.5
26-03-13,24.14285714
27-03-13,21
28-03-13,22.42857143
29-03-13,21.25
30-03-13,23.5
31-03-13,23.2
01-04-13,25.375
02-04-13,25.16666667
03-04-13,26.2
04-04-13,24.6
05-04-13,25.6
06-04-13,25.85714286
07-04-13,29.14285714
08-04-13,28.71428571
