Date,dewPoint,fog,hail,humidity,pressure,rain,maximumTemp,thunder,averageWindSpeed,maxWindSpeed
01-01-17,13.52173913,0.434782609,0,85.86956522,59,0,15.91304348,0,2.743478261,11.1
02-01-17,14.33333333,0.333333333,0,77.22222222,1018.277778,0,18.5,0,2.894444444,9.3
03-01-17,13.88888889,0.388888889,0,81.88888889,1018.333333,0,17.11111111,0,4.016666667,7.4
04-01-17,12.9,0.3,0,70.05,1015.7,0,18.7,0,4.545,13
05-01-17,13.66666667,0.222222222,0,74.94444444,1014.333333,0,18.38888889,0,3.3,9.3
06-01-17,15.54545455,0.181818182,0,79.31818182,1011.772727,0,19.31818182,0,8.681818182,14.8
07-01-17,14.125,0.25,0,95.83333333,1011.375,0.083333333,14.70833333,0,10.04166667,22.2
08-01-17,13,0.25,0,83.52631579,1015.55,0,15.68421053,0,1.95,7.4
09-01-17,11.23809524,0.333333333,0,80.80952381,1015.952381,0,14.57142857,0,6.542857143,13
10-01-17,6.888888889,0.222222222,0,71.94444444,1016.888889,0,12.11111111,0,9.361111111,22.2
11-01-17,6.166666667,0.222222222,0,72.11111111,1016.777778,0,11,0,9.772222222,22.2
12-01-17,7.210526316,0.263157895,0,74.57894737,1016.368421,0,11.78947368,0,6.626315789,14.8
13-01-17,6.941176471,0.176470588,0,67.05882353,1017.529412,0,13.23529412,0,6.435294118,14.8
14-01-17,8.56,0.32,0,74.28,1018.84,0,13.2,0,5.276,11.1
15-01-17,11.30434783,0.260869565,0,72.56521739,1018.130435,0,16.43478261,0,3.630434783,7.4
16-01-17,11.2,0.1,0,78.45,1017.15,0,14.65,0,10.38,20.4
17-01-17,9.277777778,0.166666667,0,84.44444444,1018.388889,0,11.72222222,0,8.038888889,13
18-01-17,9.291666667,0.333333333,0,78.33333333,1021.958333,0,13.04166667,0,6.029166667,13
19-01-17,10.14285714,0.333333333,0,75.14285714,1022.809524,0,14.61904762,0,10.33809524,16.7
20-01-17,8.789473684,0.157894737,0,66.47368421,1021.789474,0,15.26315789,0,11.22631579,18.5
21-01-17,9.913043478,0.173913043,0,70.86956522,1020.478261,0,15.39130435,0,13.69565217,172.2
22-01-17,14.12,0.28,0,76.24,1021.04,0,18.44,0,5.868,11.1
23-01-17,13.70588235,0.176470588,0,76,1019.823529,0,18.11764706,0,6.752941176,14.8
24-01-17,12,0.260869565,0,68.13043478,1018.869565,0,18.34782609,0,3.391304348,9.3
25-01-17,15.4,0.2,0,69.96,1018.4,0.04,21,0.04,8.756,24.1
26-01-17,14.85714286,0,0,91.64285714,1017.785714,0.642857143,16.17857143,0.642857143,8.467857143,22.2
27-01-17,12.625,0.041666667,0,77.04166667,1018.125,0.041666667,16.5,0,14.35833333,25.9
28-01-17,11.95454545,0.454545455,0,82.77272727,1019.636364,0,14.86363636,0,9.690909091,16.7
29-01-17,12.44444444,0.444444444,0,81.77777778,1017.388889,0,15.66666667,0,10.29444444,18.5
30-01-17,12.22222222,0.388888889,0,77.55555556,1015.833333,0,16.44444444,0,4.322222222,14.8
31-01-17,12.375,0.375,0,76,1015.5,0,16.125,0,4.625,11.1
01-02-17,11.625,0.375,0,78.625,1017.5,0,15.25,0,5.1,14.8
02-02-17,10.72727273,0.181818182,0,66.54545455,1018.909091,0,17.09090909,0,3.027272727,7.4
