,predicted_mean
7225,15.292996069373473
7226,15.400444386454222
7227,15.451442883173707
7228,15.47235871416999
7229,15.47724572613131
7230,15.473594698845643
7231,15.465398258128905
7232,15.454784492777067
7233,15.442887682188385
7234,15.430312399402421
7235,15.41738088080022
7236,15.404264875636436
7237,15.391055922629857
7238,15.377802807807159
7239,15.364531529758024
7240,15.351255941235731
7241,15.33798342119402
7242,15.324717898016704
7243,15.311461460917183
7244,15.298215218824009
7245,15.284979758172055
7246,15.27175538690794
7247,15.258542264546373
7248,15.245340471490973
7249,15.232150045982664
7250,15.218971003793392
7251,15.205803348723
7252,15.19264707819411
7253,15.179502186234227
7254,15.166368665065223
7255,15.153246505950525
7256,15.140135699646683
7257,15.127036236644038
7258,15.113948107295013
7259,15.100871301882478
7260,15.08780581065619
7261,15.074751623852212
7262,15.061708731703256
7263,15.048677124444202
7264,15.035656792315027
7265,15.022647725562365
7266,15.009649914440333
7267,14.996663349210978
7268,14.983688020144504
7269,14.970723917519383
7270,14.957771031622421
7271,14.944829352748794
7272,14.931898871202048
7273,14.918979577294106
7274,14.906071461345269
7275,14.893174513684212
7276,14.880288724647972
7277,14.867414084581949
7278,14.854550583839892
7279,14.841698212783896
7280,14.8288569617844
7281,14.81602682122017
7282,14.803207781478296
7283,14.790399832954186
7284,14.77760296605156
7285,14.764817171182443
7286,14.752042438767152
7287,14.739278759234288
7288,14.72652612302074
7289,14.713784520571668
7290,14.7010539423405
7291,14.688334378788928
7292,14.675625820386891
7293,14.662928257612574
7294,14.650241680952401
7295,14.637566080901031
7296,14.624901447961339
7297,14.612247772644423
7298,14.599605045469591
7299,14.586973256964356
7300,14.574352397664422
7301,14.561742458113681
7302,14.549143428864209
7303,14.536555300476259
7304,14.523978063518246
7305,14.51141170856675
7306,14.498856226206502
7307,14.486311607030379
7308,14.473777841639397
7309,14.461254920642704
7310,14.448742834657576
7311,14.436241574309406
7312,14.423751130231697
7313,14.411271493066053
7314,14.398802653462177
7315,14.386344602077866
7316,14.373897329578996
7317,14.361460826639522
7318,14.349035083941464
7319,14.336620092174908
7320,14.32421584203799
7321,14.3118223242369
7322,14.299439529485866
7323,14.287067448507148
7324,14.27470607203104
7325,14.26235539079585
7326,14.250015395547901
7327,14.237686077041525
7328,14.22536742603905
7329,14.213059433310798
7330,14.20076208963508
7331,14.18847538579818
7332,14.176199312594354
7333,14.163933860825827
7334,14.15167902130278
7335,14.139434784843345
7336,14.127201142273602
7337,14.114978084427563
7338,14.102765602147173
7339,14.090563686282298
7340,14.078372327690726
7341,14.066191517238153
7342,14.054021245798173
7343,14.041861504252282
7344,14.029712283489864
7345,14.017573574408189
7346,14.005445367912397
7347,13.9933276549155
7348,13.981220426338371
7349,13.969123673109738
7350,13.95703738616618
7351,13.944961556452117
7352,13.9328961749198
7353,13.920841232529316
7354,13.908796720248567
7355,13.89676262905327
7356,13.884738949926955
7357,13.87272567386095
7358,13.860722791854375
7359,13.848730294914143
7360,13.836748174054945
7361,13.824776420299246
7362,13.81281502467728
7363,13.800863978227035
7364,13.788923271994264
7365,13.776992897032459
7366,13.765072844402855
7367,13.753163105174423
7368,13.741263670423859
7369,13.729374531235582
7370,13.717495678701724
7371,13.705627103922122
7372,13.693768798004315
7373,13.681920752063535
7374,13.670082957222704
7375,13.658255404612422
7376,13.646438085370963
7377,13.634630990644272
7378,13.622834111585947
7379,13.611047439357245
7380,13.599270965127072
7381,13.587504680071973
7382,13.575748575376124
7383,13.564002642231337
7384,13.552266871837034
7385,13.54054125540026
7386,13.528825784135666
7387,13.517120449265503
7388,13.505425242019616
7389,13.493740153635436
7390,13.482065175357977
7391,13.47040029843983
7392,13.458745514141158
7393,13.44710081372968
7394,13.43546618848067
7395,13.42384162967695
7396,13.412227128608894
7397,13.400622676574397
7398,13.389028264878895
7399,13.377443884835339
7400,13.3658695277642
7401,13.35430518499346
7402,13.3427508478586
7403,13.3312065077026
7404,13.319672155875928
7405,13.30814778373654
7406,13.296633382649869
7407,13.285128943988813
7408,13.273634459133739
7409,13.262149919472467
7410,13.250675316400276
7411,13.23921064131989
7412,13.227755885641464
7413,13.216311040782589
7414,13.20487609816828
7415,13.193451049230971
7416,13.182035885410512
7417,13.170630598154158
7418,13.159235178916562
7419,13.147849619159771
7420,13.136473910353224
7421,13.125108043973736
7422,13.113752011505497
7423,13.102405804440064
7424,13.091069414276362
7425,13.079742832520662
7426,13.068426050686586
7427,13.057119060295102
7428,13.045821852874514
7429,13.034534419960458
7430,13.023256753095886
7431,13.01198884383107
7432,13.0007306837236
7433,12.98948226433836
7434,12.978243577247538
7435,12.967014614030614
7436,12.955795366274351
7437,12.944585825572794
7438,12.933385983527257
7439,12.922195831746325
7440,12.911015361845841
7441,12.899844565448902
7442,12.888683434185854
7443,12.877531959694284
7444,12.866390133619015
7445,12.855257947612095
7446,12.8441353933328
7447,12.833022462447625
7448,12.821919146630268
7449,12.810825437561633
7450,12.79974132692982
7451,12.788666806430125
7452,12.777601867765028
7453,12.766546502644191
7454,12.755500702784442
7455,12.744464459909778
7456,12.733437765751363
7457,12.722420612047507
7458,12.711412990543673
7459,12.700414892992463
7460,12.689426311153614
7461,12.678447236793998
7462,12.667477661687606
7463,12.656517577615546
7464,12.645566976366037
7465,12.634625849734409
7466,12.623694189523082
7467,12.612771987541578
7468,12.601859235606497
7469,12.590955925541524
7470,12.580062049177414
7471,12.569177598351999
7472,12.55830256491016
7473,12.547436940703845
7474,12.536580717592045
7475,12.5257338874408
7476,12.51489644212319
7477,12.504068373519313
7478,12.493249673516308
7479,12.482440334008327
7480,12.471640346896532
7481,12.460849704089092
7482,12.450068397501184
7483,12.439296419054978
7484,12.428533760679631
7485,12.41778041431128
7486,12.407036371893044
7487,12.39630162537501
7488,12.385576166714234
7489,12.374859987874727
7490,12.364153080827455
7491,12.353455437550327
7492,12.3427670500282
7493,12.332087910252861
7494,12.321418010223024
7495,12.310757341944328
7496,12.300105897429331
7497,12.2894636686975
7498,12.278830647775207
7499,12.26820682669572
7500,12.2575921974992
7501,12.246986752232704
7502,12.23639048295016
7503,12.225803381712375
7504,12.215225440587025
7505,12.20465665164865
7506,12.194097006978641
7507,12.183546498665251
7508,12.173005118803571
7509,12.16247285949553
7510,12.151949712849898
7511,12.141435670982267
7512,12.130930726015052
7513,12.120434870077482
7514,12.109948095305597
7515,12.099470393842246
7516,12.089001757837071
7517,12.078542179446504
7518,12.068091650833768
7519,12.057650164168864
7520,12.04721771162857
7521,12.036794285396432
7522,12.026379877662757
7523,12.01597448062461
7524,12.005578086485809
7525,11.995190687456912
7526,11.984812275755225
7527,11.97444284360478
7528,11.964082383236342
7529,11.953730886887396
7530,11.943388346802141
7531,11.933054755231492
7532,11.922730104433064
7533,11.912414386671173
7534,11.902107594216826
7535,11.891809719347716
7536,11.88152075434822
7537,11.871240691509392
7538,11.860969523128956
7539,11.850707241511296
7540,11.84045383896746
7541,11.830209307815144
7542,11.819973640378691
7543,11.809746828989091
7544,11.799528865983959
7545,11.789319743707548
7546,11.779119454510731
7547,11.768927990751003
7548,11.758745344792466
7549,11.748571509005831
7550,11.738406475768414
7551,11.728250237464119
7552,11.718102786483445
7553,11.707964115223472
7554,11.697834216087863
7555,11.687713081486844
7556,11.677600703837216
7557,11.66749707556234
7558,11.657402189092128
7559,11.647316036863046
7560,11.637238611318105
7561,11.627169904906852
7562,11.617109910085363
7563,11.607058619316247
7564,11.597016025068633
7565,11.586982119818167
7566,11.576956896047001
7567,11.566940346243797
7568,11.556932462903712
7569,11.546933238528393
7570,11.536942665625983
7571,11.5269607367111
7572,11.516987444304846
7573,11.507022780934786
7574,11.497066739134958
7575,11.487119311445852
7576,11.477180490414415
7577,11.467250268594047
7578,11.457328638544581
7579,11.447415592832296
7580,11.4375111240299
7581,11.427615224716526
7582,11.417727887477728
7583,11.407849104905477
7584,11.397978869598152
